id;spkid;full_name;pdes;name;prefix;neo;pha;H;diameter;albedo;diameter_sigma;orbit_id;epoch;epoch_mjd;epoch_cal;equinox;e;a;q;i;om;w;ma;ad;n;tp;tp_cal;per;per_y;moid;moid_ld;sigma_e;sigma_a;sigma_q;sigma_i;sigma_om;sigma_w;sigma_ma;sigma_ad;sigma_n;sigma_tp;sigma_per;class;rms
a0000304;2000304;   304 Olga;304;Olga;;N;N;9.9;65.99;0.047;0.286;JPL 50;2459000.5;59000;20200531;J2000;0.221518837;2.403461889;1.871049805;15.84636889;159.0237665;172.3499699;74.14347733;2.935873972;0.264513727;2458720.199;20190824.7;1360.987971;3.726181988;0.86208;335.4956736;3.2187E-08;4.3312E-09;7.6617E-08;3.1495E-06;9.0486E-06;0.000011304;7.1224E-06;5.2907E-09;7.1501E-10;0.000026431;3.6789E-06;MBA;0.42377
a0000305;2000305;   305 Gordonia;305;Gordonia;;N;N;8.8;47.739;0.238;0.194;JPL 54;2459000.5;59000;20200531;J2000;0.195664664;3.088835813;2.484459791;4.450027044;207.4762253;260.7956574;297.5827083;3.693211834;0.181556515;2459344.29;20210509.79;1982.853658;5.428757448;1.506;586.09002;3.6613E-08;1.2017E-08;1.1435E-07;3.8913E-06;0.000053522;0.000054315;0.000010914;1.4368E-08;1.0595E-09;0.000061245;0.000011571;MBA;0.46412
a0000306;2000306;   306 Unitas;306;Unitas;;N;N;8.8;47.2;0.201;0.13;JPL 39;2459000.5;59000;20200531;J2000;0.150755404;2.358243602;2.002725634;7.277364732;141.8605936;167.8835136;110.231902;2.71376157;0.272157982;2458595.471;20190421.97;1322.761129;3.621522598;0.989031;384.9011943;3.7946E-08;2.8895E-09;8.9359E-08;4.4103E-06;0.000034472;0.000037814;0.000016634;3.3252E-09;5.0021E-10;0.000060978;2.4312E-06;MBA;0.50498
a0000307;2000307;   307 Nike;307;Nike;;N;N;10.1;61.313;0.043;0.789;JPL 35;2459000.5;59000;20200531;J2000;0.143474621;2.906724998;2.48968373;6.125986287;100.9563307;324.3777449;89.36580017;3.323766265;0.198883226;2458551.162;20190308.66;1810.107406;4.955803985;1.50661;586.3274137;3.4523E-08;9.7426E-09;1.0026E-07;3.5237E-06;0.00004006;0.000042381;0.00001394;1.114E-08;9.999E-10;0.00006987;9.1005E-06;MBA;0.42779
a0000308;2000308;   308 Polyxo;308;Polyxo;;N;N;8.1;128.578;0.047;1.557;JPL 90;2459000.5;59000;20200531;J2000;0.040308976;2.750310388;2.639448194;4.360690463;181.6139544;113.0064024;15.60385235;2.861172583;0.216088428;2458928.29;20200319.79;1665.984631;4.561217334;1.62747;633.3624999;3.0474E-08;7.1327E-09;8.5886E-08;3.4301E-06;0.000045264;0.000065527;0.00004852;7.4202E-09;8.4061E-10;0.0002245;6.4809E-06;MBA;0.43253
a0000309;2000309;   309 Fraternitas;309;Fraternitas;;N;N;10.6;41.075;0.056;0.169;JPL 50;2459000.5;59000;20200531;J2000;0.113593485;2.665731634;2.362921888;3.713873217;356.5135532;310.8132836;147.0296072;2.968541381;0.226453707;2458351.23;20180820.73;1589.728886;4.352440482;1.35028;525.4884676;2.7829E-08;6.6681E-09;7.2764E-08;0.000003009;0.00004938;0.000051458;0.000014783;7.4255E-09;8.4968E-10;0.000065016;5.9648E-06;MBA;0.4228
a0000310;2000310;   310 Margarita;310;Margarita;;N;N;10.1;33.708;0.115;0.242;JPL 37;2459000.5;59000;20200531;J2000;0.114200366;2.764561127;2.448847236;3.169927301;229.2406815;325.289382;77.81325159;3.080275018;0.214419747;2458637.598;20190603.1;1678.949844;4.596714152;1.44846;563.6971782;4.27E-08;9.4981E-09;1.1905E-07;4.3821E-06;0.000069945;0.000071766;0.000016273;1.0583E-08;1.105E-09;0.000075748;8.6525E-06;MBA;0.46027
a0000311;2000311;   311 Claudia;311;Claudia;;N;N;10;26.3;0.322;0.378;JPL 39;2459000.5;59000;20200531;J2000;0.004196072;2.898851364;2.886687577;3.224799091;80.99356504;86.80284953;144.3200894;2.911015152;0.199694062;2458277.794;20180608.29;1802.757656;4.935681469;1.88314;732.8615938;3.4731E-08;1.1665E-08;1.0025E-07;0.000004347;0.00006973;0.00055851;0.00055284;1.1714E-08;1.2053E-09;0.0027693;0.000010881;MBA;0.42161
a0000312;2000312;   312 Pierretta;312;Pierretta;;N;N;8.8;46.191;0.23;0.411;JPL 47;2459000.5;59000;20200531;J2000;0.159817534;2.782272757;2.337616786;9.029343582;6.254767002;262.7641306;339.6931933;3.226928728;0.212375551;2459096.117;20200903.62;1695.110374;4.640959272;1.34329;522.7681693;3.4948E-08;9.5703E-09;9.8873E-08;4.2453E-06;0.000025422;0.000028936;0.000015276;1.11E-08;1.0958E-09;0.000072042;8.7461E-06;MBA;0.4299
a0000313;2000313;   313 Chaldaea;313;Chaldaea;;N;N;9;71.183;0.039;0.279;JPL 92;2459000.5;59000;20200531;J2000;0.182030374;2.374572956;1.942328552;11.65129104;176.5810363;316.0254246;279.2840772;2.806817359;0.269355469;2459300.163;20210326.66;1336.523818;3.659202788;0.97232;378.3977744;3.3154E-08;3.395E-09;7.8629E-08;3.8356E-06;0.000014642;0.00001692;9.4771E-06;4.013E-09;5.7766E-10;0.000035437;2.8663E-06;MBA;0.50912
